sex,fb,email_domain,associations,words,badwords,abuse
M,1,gmail.com,2,0,0,0
M,1,yandex.ru,2,0,0,0
M,1,yahoo.com,2,0,0,0
M,1,gmail.com,2,0,0,0
F,1,yandex.ru,2,1,1,0
M,1,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
,0,gmail.com,2,0,0,0
,0,mail.ru,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,pochta.ru,2,0,0,0
,0,yandex.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,bk.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,mail.ru,2,0,4,0
M,1,ukr.net,2,0,0,0
F,1,gmail.com,2,0,0,0
,0,mail.ru,2,0,2,0
M,1,yandex.ru,2,1,0,0
F,1,gmail.com,2,0,0,0
F,1,gmail.com,2,0,0,0
M,1,qip.ru,2,0,0,0
F,1,gmail.com,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,mail.ru,2,0,0,0
,0,gmail.com,2,0,0,0
,0,yandex.ru,2,0,2,0
,0,mail.ru,2,0,2,0
M,1,mail.ru,2,0,0,0
,0,yandex.ru,2,0,2,0
,0,gmail.com,2,0,0,0
F,1,gmail.com,2,1,0,0
M,1,mail.ru,2,0,0,0
F,1,yandex.ru,2,0,2,0
F,1,mail.ru,2,0,0,0
M,1,,2,0,2,0
,0,mail.ru,2,0,0,0
,0,list.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,gmail.com,2,0,0,0
,0,outlook.com,2,0,2,0
,0,mail.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,rambler.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
M,1,rambler.ru,2,0,0,0
M,1,ya.ru,2,0,0,0
,0,mail.ru,2,0,0,0
M,1,rambler.ru,2,0,2,0
F,1,mail.ru,2,0,0,0
M,1,mail.ru,2,0,0,0
,0,mail.ru,2,0,2,0
M,1,gmail.com,2,0,0,0
F,1,mail.ru,2,0,0,0
,0,mail.ru,2,0,1,0
F,1,inbox.ru,2,0,0,0
F,1,,2,0,0,0
M,1,gmail.com,2,0,0,0
,0,mail.ru,2,0,0,0
,0,yandex.ru,2,0,0,0
M,1,mail.ru,2,0,0,0
M,1,gmail.com,2,0,0,0
F,1,,2,0,0,0
,0,bk.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,mail.ru,2,0,0,0
M,1,inbox.ru,2,0,0,0
F,1,yandex.ru,2,0,0,0
F,1,list.ru,2,0,0,0
M,1,,2,0,0,0
,0,gmail.com,2,0,0,0
F,1,mail.ru,2,0,2,0
M,1,mail.ru,2,0,0,0
,0,gmail.com,2,0,0,0
,0,yandex.ru,2,0,0,0
M,1,mail.by,2,0,0,0
F,1,mail.ru,2,0,0,0
F,1,ro.ru,2,0,0,0
